ticker,score_total,qualidade,valuation,dividendos,crescimento,seguranca,peso_pct,classificacao,motivos,pontos_fortes,pontos_fracos
BBAS3,57.5,,,,,,2.0,,ROE abaixo da média (0.09 vs ref 0.12); Margem Líquida acima da média (0.20 vs ref 0.08); P/L abaixo da média (8.82 vs ref 15.00); P/VP abaixo da média (0.60 vs ref 1.50); Dividend Yield abaixo da média (0.01 vs ref 0.04); Crescimento Lucro acima da média (0.31 vs ref 0.05),Margem Líquida acima da média (0.20 vs ref 0.08); P/L abaixo da média (8.82 vs ref 15.00); P/VP abaixo da média (0.60 vs ref 1.50); Crescimento Lucro acima da média (0.31 vs ref 0.05),ROE abaixo da média (0.09 vs ref 0.12); Dividend Yield abaixo da média (0.01 vs ref 0.04)
AZZA3,56.4,,,,,,2.0,,ROE na média (0.11); Margem Líquida na média (0.07); P/L abaixo da média (4.33 vs ref 15.00); P/VP abaixo da média (0.49 vs ref 1.50); Dividend Yield acima da média (0.13 vs ref 0.04); Crescimento Lucro abaixo da média (-0.22 vs ref 0.05); Endividamento abaixo da média (0.49 vs ref 1.00); Liquidez Corrente acima da média (2.20 vs ref 1.50),P/L abaixo da média (4.33 vs ref 15.00); P/VP abaixo da média (0.49 vs ref 1.50); Dividend Yield acima da média (0.13 vs ref 0.04); Endividamento abaixo da média (0.49 vs ref 1.00); Liquidez Corrente acima da média (2.20 vs ref 1.50),ROE na média (0.11); Margem Líquida na média (0.07); Crescimento Lucro abaixo da média (-0.22 vs ref 0.05)
GGBR4,54.9,,,,,,2.0,,ROE abaixo da média (0.03 vs ref 0.12); Margem Líquida abaixo da média (0.02 vs ref 0.08); P/L acima da média (26.39 vs ref 15.00); P/VP abaixo da média (0.82 vs ref 1.50); Dividend Yield abaixo da média (0.03 vs ref 0.04); Crescimento Lucro acima da média (1.02 vs ref 0.05); Endividamento abaixo da média (0.29 vs ref 1.00); Liquidez Corrente acima da média (2.76 vs ref 1.50),P/VP abaixo da média (0.82 vs ref 1.50); Crescimento Lucro acima da média (1.02 vs ref 0.05); Endividamento abaixo da média (0.29 vs ref 1.00); Liquidez Corrente acima da média (2.76 vs ref 1.50),ROE abaixo da média (0.03 vs ref 0.12); Margem Líquida abaixo da média (0.02 vs ref 0.08); P/L acima da média (26.39 vs ref 15.00); Dividend Yield abaixo da média (0.03 vs ref 0.04)
LREN3,54.8,,,,,,2.0,,ROE acima da média (0.14 vs ref 0.12); Margem Líquida na média (0.09); P/L abaixo da média (9.66 vs ref 15.00); P/VP na média (1.36); Dividend Yield acima da média (0.06 vs ref 0.04); Crescimento Lucro abaixo da média (-0.04 vs ref 0.05); Endividamento abaixo da média (0.28 vs ref 1.00); Liquidez Corrente na média (1.77),ROE acima da média (0.14 vs ref 0.12); Margem Líquida na média (0.09); P/L abaixo da média (9.66 vs ref 15.00); P/VP na média (1.36); Dividend Yield acima da média (0.06 vs ref 0.04),Crescimento Lucro abaixo da média (-0.04 vs ref 0.05)
VALE3,54.5,,,,,,2.0,,ROE abaixo da média (0.07 vs ref 0.12); Margem Líquida na média (0.07); P/L acima da média (23.66 vs ref 15.00); P/VP acima da média (1.80 vs ref 1.50); Dividend Yield acima da média (0.09 vs ref 0.04); Crescimento Lucro acima da média (1.00 vs ref 0.05); Endividamento abaixo da média (0.57 vs ref 1.00); Liquidez Corrente na média (1.24),Dividend Yield acima da média (0.09 vs ref 0.04); Crescimento Lucro acima da média (1.00 vs ref 0.05); Endividamento abaixo da média (0.57 vs ref 1.00),ROE abaixo da média (0.07 vs ref 0.12); Margem Líquida na média (0.07); P/L acima da média (23.66 vs ref 15.00); P/VP acima da média (1.80 vs ref 1.50); Liquidez Corrente na média (1.24)
BBDC4,53.1,,,,,,2.0,,ROE na média (0.13); Margem Líquida acima da média (0.25 vs ref 0.08); P/L abaixo da média (8.42 vs ref 15.00); P/VP abaixo da média (1.04 vs ref 1.50); Dividend Yield abaixo da média (0.01 vs ref 0.04); Crescimento Lucro abaixo da média (-0.04 vs ref 0.05),ROE na média (0.13); Margem Líquida acima da média (0.25 vs ref 0.08); P/L abaixo da média (8.42 vs ref 15.00); P/VP abaixo da média (1.04 vs ref 1.50),Dividend Yield abaixo da média (0.01 vs ref 0.04); Crescimento Lucro abaixo da média (-0.04 vs ref 0.05)
B3SA3,52.5,,,,,,2.0,,ROE acima da média (0.27 vs ref 0.12); Margem Líquida acima da média (0.47 vs ref 0.08); P/L na média (15.98); P/VP acima da média (4.04 vs ref 1.50); Dividend Yield acima da média (0.06 vs ref 0.04); Crescimento Lucro abaixo da média (-0.03 vs ref 0.05); Endividamento na média (0.85); Liquidez Corrente acima da média (2.10 vs ref 1.50),ROE acima da média (0.27 vs ref 0.12); Margem Líquida acima da média (0.47 vs ref 0.08); Dividend Yield acima da média (0.06 vs ref 0.04); Endividamento na média (0.85); Liquidez Corrente acima da média (2.10 vs ref 1.50),P/L na média (15.98); P/VP acima da média (4.04 vs ref 1.50); Crescimento Lucro abaixo da média (-0.03 vs ref 0.05)
VAMO3,52.5,,,,,,2.0,,ROE na média (0.12); Margem Líquida abaixo da média (0.05 vs ref 0.08); P/L abaixo da média (9.17 vs ref 15.00); P/VP abaixo da média (1.14 vs ref 1.50); Dividend Yield acima da média (0.05 vs ref 0.04); Crescimento Lucro acima da média (0.27 vs ref 0.05); Endividamento acima da média (6.47 vs ref 1.00); Liquidez Corrente na média (1.77),ROE na média (0.12); P/L abaixo da média (9.17 vs ref 15.00); P/VP abaixo da média (1.14 vs ref 1.50); Dividend Yield acima da média (0.05 vs ref 0.04); Crescimento Lucro acima da média (0.27 vs ref 0.05),Margem Líquida abaixo da média (0.05 vs ref 0.08); Endividamento acima da média (6.47 vs ref 1.00)
RAIL3,52.4,,,,,,2.0,,ROE abaixo da média (0.07 vs ref 0.12); Margem Líquida na média (0.07); P/L acima da média (22.27 vs ref 15.00); P/VP na média (1.67); Dividend Yield acima da média (0.87 vs ref 0.04); Endividamento acima da média (2.06 vs ref 1.00); Liquidez Corrente na média (1.37),Dividend Yield acima da média (0.87 vs ref 0.04),ROE abaixo da média (0.07 vs ref 0.12); Margem Líquida na média (0.07); P/L acima da média (22.27 vs ref 15.00); P/VP na média (1.67); Endividamento acima da média (2.06 vs ref 1.00)
RCSL4,52.3,,,,,,2.0,,Margem Líquida abaixo da média (0.00 vs ref 0.08); Liquidez Corrente na média (1.22),,Margem Líquida abaixo da média (0.00 vs ref 0.08); Liquidez Corrente na média (1.22)
