ticker,score_total,qualidade,valuation,dividendos,crescimento,seguranca,peso_pct,classificacao,motivos,pontos_fortes,pontos_fracos
EQTL3,42.2,,,,,,2.0,,ROE abaixo da média (0.07 vs ref 0.12); Margem Líquida abaixo da média (0.03 vs ref 0.08); P/L acima da média (40.05 vs ref 15.00); P/VP acima da média (1.84 vs ref 1.50); Dividend Yield acima da média (0.06 vs ref 0.04); Endividamento acima da média (2.06 vs ref 1.00); Liquidez Corrente na média (1.56),Dividend Yield acima da média (0.06 vs ref 0.04); Liquidez Corrente na média (1.56),ROE abaixo da média (0.07 vs ref 0.12); Margem Líquida abaixo da média (0.03 vs ref 0.08); P/L acima da média (40.05 vs ref 15.00); P/VP acima da média (1.84 vs ref 1.50); Endividamento acima da média (2.06 vs ref 1.00)
ASAI3,41.5,,,,,,2.0,,ROE na média (0.12); Margem Líquida abaixo da média (0.01 vs ref 0.08); P/L abaixo da média (11.32 vs ref 15.00); P/VP na média (1.75); Dividend Yield abaixo da média (0.02 vs ref 0.04); Endividamento acima da média (4.60 vs ref 1.00); Liquidez Corrente abaixo da média (1.10 vs ref 1.50),ROE na média (0.12); P/L abaixo da média (11.32 vs ref 15.00),Margem Líquida abaixo da média (0.01 vs ref 0.08); P/VP na média (1.75); Dividend Yield abaixo da média (0.02 vs ref 0.04); Endividamento acima da média (4.60 vs ref 1.00); Liquidez Corrente abaixo da média (1.10 vs ref 1.50)
CSNA3,40.4,,,,,,2.0,,ROE abaixo da média (-0.08 vs ref 0.12); Margem Líquida abaixo da média (-0.04 vs ref 0.08); P/VP abaixo da média (0.55 vs ref 1.50); Endividamento acima da média (3.24 vs ref 1.00); Liquidez Corrente abaixo da média (1.11 vs ref 1.50),P/VP abaixo da média (0.55 vs ref 1.50),ROE abaixo da média (-0.08 vs ref 0.12); Margem Líquida abaixo da média (-0.04 vs ref 0.08); Endividamento acima da média (3.24 vs ref 1.00); Liquidez Corrente abaixo da média (1.11 vs ref 1.50)
ABEV3,38.2,,,,,,2.0,,ROE acima da média (0.17 vs ref 0.12); Margem Líquida acima da média (0.18 vs ref 0.08); P/L na média (16.33); P/VP acima da média (2.80 vs ref 1.50); Dividend Yield abaixo da média (0.01 vs ref 0.04); Crescimento Lucro abaixo da média (-0.02 vs ref 0.05); Endividamento acima da média (3.42 vs ref 1.00); Liquidez Corrente abaixo da média (1.03 vs ref 1.50),ROE acima da média (0.17 vs ref 0.12); Margem Líquida acima da média (0.18 vs ref 0.08),P/L na média (16.33); P/VP acima da média (2.80 vs ref 1.50); Dividend Yield abaixo da média (0.01 vs ref 0.04); Crescimento Lucro abaixo da média (-0.02 vs ref 0.05); Endividamento acima da média (3.42 vs ref 1.00)
CVCB3,38.1,,,,,,2.0,,ROE abaixo da média (-0.23 vs ref 0.12); Margem Líquida abaixo da média (-0.07 vs ref 0.08); P/VP na média (1.37); Endividamento acima da média (1.40 vs ref 1.00); Liquidez Corrente abaixo da média (0.73 vs ref 1.50),P/VP na média (1.37),ROE abaixo da média (-0.23 vs ref 0.12); Margem Líquida abaixo da média (-0.07 vs ref 0.08); Endividamento acima da média (1.40 vs ref 1.00); Liquidez Corrente abaixo da média (0.73 vs ref 1.50)
RADL3,37.3,,,,,,2.0,,ROE acima da média (0.19 vs ref 0.12); Margem Líquida abaixo da média (0.03 vs ref 0.08); P/L acima da média (21.25 vs ref 15.00); P/VP acima da média (4.00 vs ref 1.50); Dividend Yield abaixo da média (0.02 vs ref 0.04); Crescimento Lucro abaixo da média (-0.08 vs ref 0.05); Endividamento na média (1.18); Liquidez Corrente na média (1.47),ROE acima da média (0.19 vs ref 0.12),Margem Líquida abaixo da média (0.03 vs ref 0.08); P/L acima da média (21.25 vs ref 15.00); P/VP acima da média (4.00 vs ref 1.50); Dividend Yield abaixo da média (0.02 vs ref 0.04); Crescimento Lucro abaixo da média (-0.08 vs ref 0.05)
CSAN3,34.5,,,,,,2.0,,ROE abaixo da média (-0.30 vs ref 0.12); Margem Líquida abaixo da média (-0.24 vs ref 0.08); P/VP acima da média (4.09 vs ref 1.50); Crescimento Lucro acima da média (0.07 vs ref 0.05); Endividamento na média (1.10); Liquidez Corrente acima da média (1.87 vs ref 1.50),Crescimento Lucro acima da média (0.07 vs ref 0.05); Liquidez Corrente acima da média (1.87 vs ref 1.50),ROE abaixo da média (-0.30 vs ref 0.12); Margem Líquida abaixo da média (-0.24 vs ref 0.08); P/VP acima da média (4.09 vs ref 1.50); Endividamento na média (1.10)
RAIZ4,24.3,,,,,,2.0,,ROE abaixo da média (-2.31 vs ref 0.12); Margem Líquida abaixo da média (-0.10 vs ref 0.08); Liquidez Corrente na média (1.69),Liquidez Corrente na média (1.69),ROE abaixo da média (-2.31 vs ref 0.12); Margem Líquida abaixo da média (-0.10 vs ref 0.08)
BRKM5,22.7,,,,,,2.0,,Margem Líquida abaixo da média (-0.14 vs ref 0.08); Liquidez Corrente abaixo da média (0.71 vs ref 1.50),,Margem Líquida abaixo da média (-0.14 vs ref 0.08); Liquidez Corrente abaixo da média (0.71 vs ref 1.50)
ONCO3,17.7,,,,,,2.0,,ROE abaixo da média (-2.06 vs ref 0.12); Margem Líquida abaixo da média (-0.71 vs ref 0.08); P/VP acima da média (2.85 vs ref 1.50); Endividamento acima da média (6.18 vs ref 1.00); Liquidez Corrente abaixo da média (0.46 vs ref 1.50),,ROE abaixo da média (-2.06 vs ref 0.12); Margem Líquida abaixo da média (-0.71 vs ref 0.08); P/VP acima da média (2.85 vs ref 1.50); Endividamento acima da média (6.18 vs ref 1.00); Liquidez Corrente abaixo da média (0.46 vs ref 1.50)
